"Unnamed: 0","benchmark","config","gsizes","samples","devices","timeouts","notes"
"5","amd-app-sdk-3.0-FloydWarshall-floydWarshallPass","","","","","",""
"6","amd-app-sdk-3.0-MatrixMultiplication-mmmKernel","","","","","",""
"13","amd-app-sdk-3.0-SimpleConvolution-simpleNonSeparableConvolution","","","","","",""
"14","amd-app-sdk-3.0-SimpleConvolution-simpleSeparableConvolutionPass1","","","","","",""
"15","amd-app-sdk-3.0-SimpleConvolution-simpleSeparableConvolutionPass2","","","","","",""
"22","npb-3.3-BT-compute_rhs5","","","","","",""
"45","npb-3.3-BT-z_solve1","","","","","",""
"76","npb-3.3-LU-erhs4","","","","","",""
"79","npb-3.3-LU-pintgr1","","","","","",""
"80","npb-3.3-LU-pintgr2","","","","","",""
"81","npb-3.3-LU-pintgr3","","","","","",""
"86","npb-3.3-LU-rhsz","","","","","",""
"93","npb-3.3-MG-kernel_comm3_1","","","","","",""
"94","npb-3.3-MG-kernel_comm3_2","","","","","",""
"96","npb-3.3-MG-kernel_interp_1","","","","","",""
"98","npb-3.3-MG-kernel_psinv","","","","","",""
"99","npb-3.3-MG-kernel_resid","","","","","",""
"104","npb-3.3-MG-kernel_zran3_3","","","","","",""
"110","npb-3.3-SP-compute_rhs5","","","","","",""
"130","npb-3.3-SP-z_solve","","","","","",""
"133","nvidia-4.2-MatVecMul-MatVecMulCoalesced0","","","","","",""
"134","nvidia-4.2-MatVecMul-MatVecMulCoalesced1","","","","","",""
"135","nvidia-4.2-MatVecMul-MatVecMulCoalesced2","","","","","",""
"137","nvidia-4.2-MatVecMul-MatVecMulUncoalesced0","","","","","",""
"138","nvidia-4.2-MatVecMul-MatVecMulUncoalesced1","","","","","",""
"141","nvidia-4.2-MersenneTwister-MersenneTwister","","","","","",""
"150","parboil-0.2-stencil-naive_kernel","","","","","",""
"158","polybench-gpu-1.0-atax-atax_kernel1","","","","","",""
"159","polybench-gpu-1.0-atax-atax_kernel2","","","","","",""
"160","polybench-gpu-1.0-bicg-bicgKernel1","","","","","",""
"161","polybench-gpu-1.0-bicg-bicgKernel2","","","","","",""
"162","polybench-gpu-1.0-correlation-corr_kernel","","","","","",""
"163","polybench-gpu-1.0-correlation-mean_kernel","","","","","",""
"165","polybench-gpu-1.0-correlation-std_kernel","","","","","",""
"166","polybench-gpu-1.0-covariance-covar_kernel","","","","","",""
"167","polybench-gpu-1.0-covariance-mean_kernel","","","","","",""
"169","polybench-gpu-1.0-gemm-gemm","","","","","",""
"170","polybench-gpu-1.0-gesummv-gesummv_kernel","","","","","",""
"171","polybench-gpu-1.0-gramschmidt-gramschmidt_kernel1","","","","","",""
"172","polybench-gpu-1.0-gramschmidt-gramschmidt_kernel2","","","","","",""
"173","polybench-gpu-1.0-gramschmidt-gramschmidt_kernel3","","","","","",""
"174","polybench-gpu-1.0-mvt-mvt_kernel1","","","","","",""
"175","polybench-gpu-1.0-mvt-mvt_kernel2","","","","","",""
"176","polybench-gpu-1.0-syr2k-syr2k_kernel","","","","","",""
"177","polybench-gpu-1.0-syrk-syrk_kernel","","","","","",""
"187","rodinia-3.1-gaussian-Fan1","","","","","",""
"188","rodinia-3.1-gaussian-Fan2","","","","","",""
"195","rodinia-3.1-leukocyte-dilate_kernel","","","","","",""
